Date: 28 SEP-06 OCT 2000
Hurricane-4 KEITH
ADV  LAT   LON       TIME     WIND  PR  STAT
  1  16.10  -82.90 09/28/18Z   25  1005 TROPICALDEPRESSION
  2  16.20  -83.30 09/29/00Z   25  1004 TROPICALDEPRESSION
  3  16.60  -83.60 09/29/06Z   30  1003 TROPICALDEPRESSION
  4  16.90  -84.00 09/29/12Z   30  1002 TROPICALDEPRESSION
  5  17.40  -84.80 09/29/18Z   40  1000 TROPICALSTORM
  6  17.70  -85.40 09/30/00Z   45   993 TROPICALSTORM
  7  17.90  -86.00 09/30/06Z   55   987 TROPICALSTORM
  8  17.90  -86.40 09/30/12Z   65   982 HURRICANE-1
  9  17.90  -86.70 09/30/18Z   75   977 HURRICANE-1
 10  17.90  -86.90 10/01/00Z  100   955 HURRICANE-3
 11  17.90  -87.20 10/01/06Z  120   941 HURRICANE-4
 12  17.90  -87.30 10/01/07Z  120   939 HURRICANE-4
 13  17.90  -87.40 10/01/12Z  115   944 HURRICANE-4
 14  17.90  -87.70 10/01/18Z  110   950 HURRICANE-3
 15  17.80  -87.90 10/02/00Z  100   959 HURRICANE-3
 16  17.60  -87.80 10/02/06Z   80   974 HURRICANE-1
 17  17.70  -87.80 10/02/12Z   70   980 HURRICANE-1
 18  17.70  -87.90 10/02/18Z   65   987 HURRICANE-1
 19  17.90  -88.00 10/02/23Z   65   988 HURRICANE-1
 20  17.90  -88.00 10/03/00Z   60   989 TROPICALSTORM
 21  17.90  -88.20 10/03/03Z   60   990 TROPICALSTORM
 22  18.00  -88.40 10/03/06Z   45   990 TROPICALSTORM
 23  18.30  -88.80 10/03/12Z   30   995 TROPICALDEPRESSION
 24  18.60  -89.50 10/03/18Z   30   998 TROPICALDEPRESSION
 25  19.00  -90.40 10/04/00Z   25  1000 TROPICALDEPRESSION
 26  19.50  -91.40 10/04/06Z   30  1000 TROPICALDEPRESSION
 27  19.90  -92.50 10/04/12Z   35   999 TROPICALSTORM
 28  20.30  -93.50 10/04/18Z   40   996 TROPICALSTORM
 29  20.70  -94.80 10/05/00Z   60   988 TROPICALSTORM
 30  21.20  -96.10 10/05/06Z   65   987 HURRICANE-1
 31  21.80  -97.00 10/05/12Z   75   983 HURRICANE-1
 32  22.60  -97.90 10/05/18Z   80   980 HURRICANE-1
 33  23.20  -99.00 10/06/00Z   45   988 TROPICALSTORM
 34  23.50 -100.00 10/06/06Z   30  1002 TROPICALDEPRESSION
 35  23.80 -101.00 10/06/12Z   20  1007 TROPICALDEPRESSION
