Date: 26 NOV-05 DEC 2004
Subtropical Storm OTTO
ADV  LAT   LON       TIME     WIND  PR  STAT
  1  28.00  -40.00 11/26/00Z   30  1009 EXTRATROPICALDEPRESSION
  2  27.30  -41.00 11/26/06Z   35  1006 EXTRATROPICALSTORM
  3  26.50  -41.90 11/26/12Z   35  1002 EXTRATROPICALSTORM
  4  26.80  -42.50 11/26/18Z   35  1000 EXTRATROPICALSTORM
  5  26.80  -43.20 11/27/00Z   35  1000 EXTRATROPICALSTORM
  6  26.70  -43.80 11/27/06Z   35  1000 EXTRATROPICALSTORM
  7  26.40  -44.30 11/27/12Z   35  1000 EXTRATROPICALSTORM
  8  26.20  -44.40 11/27/18Z   35  1000 EXTRATROPICALSTORM
  9  26.30  -44.10 11/28/00Z   35  1000 EXTRATROPICALSTORM
 10  27.40  -43.90 11/28/06Z   35  1000 EXTRATROPICALSTORM
 11  28.20  -44.00 11/28/12Z   35  1000 EXTRATROPICALSTORM
 12  28.70  -45.10 11/28/18Z   35   999 EXTRATROPICALSTORM
 13  28.80  -46.50 11/29/00Z   35   998 EXTRATROPICALSTORM
 14  29.00  -47.80 11/29/06Z   40   998 EXTRATROPICALSTORM
 15  29.60  -47.90 11/29/12Z   40   998 SUBTROPICALSTORM
 16  30.20  -48.80 11/29/18Z   45   998 SUBTROPICALSTORM
 17  30.70  -49.70 11/30/00Z   45   997 SUBTROPICALSTORM
 18  30.90  -50.50 11/30/06Z   45   997 SUBTROPICALSTORM
 19  31.30  -51.00 11/30/12Z   40   997 SUBTROPICALSTORM
 20  31.70  -51.00 11/30/18Z   40   997 TROPICALSTORM
 21  31.80  -50.90 12/01/00Z   40   997 TROPICALSTORM
 22  31.90  -50.80 12/01/06Z   40   997 TROPICALSTORM
 23  31.60  -50.40 12/01/12Z   40   997 TROPICALSTORM
 24  31.00  -50.10 12/01/18Z   35   997 TROPICALSTORM
 25  30.50  -49.90 12/02/00Z   35   997 TROPICALSTORM
 26  29.90  -50.10 12/02/06Z   35   996 TROPICALSTORM
 27  29.10  -50.40 12/02/12Z   30   995 TROPICALDEPRESSION
 28  28.50  -50.10 12/02/18Z   30   996 TROPICALDEPRESSION
 29  27.90  -50.10 12/03/00Z   30   997 TROPICALDEPRESSION
 30  27.20  -50.20 12/03/06Z   30   998 LOW
 31  26.50  -50.30 12/03/12Z   30  1000 LOW
 32  26.20  -50.60 12/03/18Z   25  1002 LOW
 33  25.80  -50.20 12/04/00Z   25  1005 LOW
 34  25.40  -50.10 12/04/06Z   25  1008 LOW
 35  25.00  -50.40 12/04/12Z   25  1010 LOW
 36  25.10  -50.90 12/04/18Z   25  1011 LOW
 37  25.50  -51.10 12/05/00Z   20  1012 LOW
 38  25.90  -51.10 12/05/06Z   20  1013 LOW
 39  26.10  -51.40 12/05/12Z   20  1014 LOW
