11.3,-39.4,30,1010
11.5,-40.3,30,1008
11.7,-41.2,35,1006
12.1,-42.2,40,1003
12.6,-43.3,50,1000
13.3,-44.5,60,994
13.9,-45.6,60,988
14.5,-46.8,65,987
15.2,-48,65,987
16,-49.3,65,987
17,-50.6,70,985
18,-51.9,70,979
19,-53.2,70,979
20.1,-54.4,70,980
21.3,-55.6,65,984
22.6,-56.8,60,995
23.8,-58.2,50,1009
24.9,-59.7,45,1010
26.1,-61,40,1011
27.3,-62.3,35,1012
28.7,-63.1,35,1013
30.4,-63.1,35,1013
32.2,-62.8,35,1012
33.8,-62.8,35,1008
35,-63,35,1006
36.2,-62.3,40,1004
37.9,-60.7,40,1003
39.9,-58.4,40,1003
42.2,-55.5,45,1003
44.7,-52,45,1003
