11.3,-22.7,25,1010
11.1,-23.8,25,1010
11,-24.3,25,1009
10.9,-24.9,25,1009
11.1,-26,30,1008
11.4,-27.5,30,1008
11.6,-29,35,1005
11.8,-30.5,40,1000
12.2,-31.9,40,1000
12.7,-33.1,40,1003
13,-34.2,40,1005
13.2,-35.3,45,1005
13.4,-36.2,55,1005
13.7,-37,65,1002
14,-37.9,70,998
14.3,-38.8,80,992
14.6,-39.7,85,979
15,-40.7,95,971
15.4,-41.7,100,965
15.8,-42.6,105,958
16.2,-43.6,115,950
16.5,-44.7,115,948
16.8,-45.8,115,948
17,-46.9,115,948
17.2,-48,115,948
17.3,-49.2,115,948
17.3,-50.5,115,948
17.4,-51.8,120,948
17.3,-53.1,120,948
17.3,-54.3,120,945
17.1,-55.6,120,942
17,-56.8,120,940
17,-58,120,945
17,-59.1,120,943
17.1,-60.1,120,940
17.3,-61,120,939
17.5,-61.7,115,945
18,-62.4,115,944
18.4,-63,115,942
18.9,-63.6,115,939
19.4,-64.2,115,943
20.1,-64.9,115,940
20.7,-65.4,115,938
21.3,-66,115,936
22,-66.6,110,941
22.8,-67.2,110,938
24.3,-68,110,935
25.8,-68.8,110,939
26.4,-69.3,105,941
26.5,-69.5,100,944
27.1,-69.8,95,945
29.1,-69.5,90,949
31,-69.1,85,952
32.7,-68.6,85,955
34.5,-67.2,85,959
36.5,-65.4,85,963
38.4,-63.7,80,961
40.9,-60.9,80,966
43.9,-57.7,80,965
47.1,-54.2,80,963
51.5,-48.5,70,960
55,-46,60,958
57,-45,60,955
58,-44,60,950
59,-42,60,955
60,-40,50,960
