9.7,-25.1,30,1009
9.8,-26.5,30,1009
10,-28.1,30,1009
10.3,-29.7,30,1009
10.6,-31.3,35,1005
11,-32.9,35,1003
11.3,-34.6,45,1000
11.7,-36.3,50,997
12,-38.1,55,994
12.3,-40,65,987
12.5,-42,70,984
12.8,-43.9,80,977
13.1,-45.7,85,973
13.5,-47.4,90,970
13.9,-49,90,970
14.4,-50.6,95,965
14.9,-52,110,954
15.4,-53.5,125,949
15.7,-54.9,130,939
16,-56.3,135,937
16.2,-57.7,130,939
16.4,-59.2,115,956
16.7,-60.6,100,963
17,-61.7,100,966
17.1,-62.1,100,966
17.2,-62.6,100,966
17.4,-63.6,95,966
17.8,-65,90,970
18.1,-65.8,90,968
18.2,-66.3,90,970
18,-67.4,95,972
18.2,-68.5,105,964
18.2,-68.7,105,962
18.6,-69.7,95,970
18.8,-70.8,70,980
19,-72.1,65,990
19.3,-73.3,65,996
19.8,-74.3,65,994
20.1,-74.5,65,993
20.5,-74.9,65,992
20.8,-76,65,991
21.3,-77.2,70,990
21.9,-78,75,989
22.7,-79,80,987
23.4,-80.2,85,986
23.9,-81.3,90,982
24.5,-81.8,90,981
24.6,-82.4,90,975
24.8,-83.3,90,974
25.2,-84.2,90,975
25.7,-85.1,90,974
26.2,-85.9,90,975
27,-86.5,95,969
27.6,-87.2,95,970
28.2,-87.8,95,962
28.8,-88.3,95,962
29.3,-88.5,95,961
29.8,-88.7,90,964
30.4,-88.9,90,964
30.4,-88.9,90,965
30.6,-88.9,65,984
30.6,-89,50,986
30.6,-88.4,40,992
31,-88.1,30,994
30.9,-87.5,30,996
30.8,-86.9,30,998
30.7,-86.3,30,1000
30.7,-85.4,25,1002
30.6,-84.2,25,1004
30.5,-83,25,1006
30.5,-81.8,20,1008
