11.5,-23,30,1008
11.9,-24.5,30,1008
12.3,-25.9,35,1005
12.7,-27.2,40,1001
13.1,-28.7,45,1000
13.5,-30.1,45,1000
13.7,-31.2,50,997
13.9,-32.3,55,994
14.3,-33.2,70,984
14.6,-34.2,85,973
14.9,-35,105,960
15.1,-35.8,100,960
15.5,-36.8,100,960
15.8,-37.8,100,960
16.3,-38.6,95,965
16.7,-39.5,95,965
17.2,-40.4,90,970
17.6,-41.2,90,970
17.9,-42,90,970
18.3,-42.9,85,973
18.6,-43.9,75,980
19.1,-45,75,980
19.6,-46,80,977
20.4,-47,85,973
21,-48.1,90,970
21.9,-49.5,95,965
22.8,-50.6,100,960
23.8,-52,105,955
25,-52.9,110,950
26.6,-54.2,120,943
28,-55.1,115,948
29.7,-55.9,110,950
31.2,-56.2,105,955
32.9,-55.9,90,965
34.4,-55.2,85,970
35.7,-54,80,975
37,-51.8,75,979
38.3,-49.8,70,985
39.7,-47.9,65,987
40.9,-45.7,60,990
42.1,-43.6,55,990
43.5,-39.5,55,990
44.5,-36.5,55,982
45.7,-33,60,972
47,-29,60,975
48.5,-25,60,976
49.5,-20.5,60,976
50.5,-16.5,60,978
52,-12,55,982
55,-9,45,988
58,-6,45,989
62,-4,45,994
