13.3,-83.6,30,1004
13.7,-83.6,30,1004
13.7,-84.1,30,1005
13.3,-83.9,30,1005
13,-83.5,30,1006
13.7,-83.6,30,1004
14.3,-83.4,30,1005
14.8,-83.2,30,1004
15.3,-83.1,30,1004
15.8,-83.1,35,1001
16.5,-83.4,45,999
16.8,-83.6,50,995
17,-83.8,50,993
17.3,-83.9,55,991
17.5,-83.9,60,988
17.8,-84,70,979
18,-84,80,969
18.5,-84,90,957
18.8,-84.3,105,942
18.9,-84.3,115,937
19.3,-84.1,110,934
19.7,-83.7,115,938
20.1,-83.3,120,944
20.8,-82.5,120,947
21.5,-81.8,120,949
22.1,-81.2,115,950
22.3,-80.9,105,953
23.1,-79.7,80,972
24.3,-78,80,974
25.4,-76.4,75,980
26.3,-74.5,75,980
26.9,-72.6,75,980
27.3,-69.7,65,984
28.7,-66.5,55,989
