10.2,-44.6,25,1009
10.3,-46.5,30,1007
10.8,-48.5,30,1006
11.2,-50.4,30,1006
11.8,-52.2,30,1005
12.1,-54.6,35,1005
12.2,-56.8,40,1005
12.4,-58.7,45,1004
12.5,-60.4,50,1005
12.7,-62.1,50,1006
12.8,-63.7,50,1006
13,-64.9,60,1004
13.2,-66,50,1007
13.5,-66.9,35,1008
13.7,-67.5,35,1008
14,-68.2,40,1008
14.2,-68.9,40,1007
14.5,-69.8,35,1007
14.9,-71,35,1007
15.3,-72.2,30,1007
15.6,-73,30,1006
15.7,-73.5,30,1006
15.9,-74,30,1006
16.1,-74.6,35,1003
16.7,-75,40,1004
17.4,-75.1,45,999
17.5,-75.6,45,999
18.1,-75.4,45,1002
18.5,-75.7,45,1003
18.8,-76.1,45,1001
18.8,-76.8,40,999
18.7,-77.2,45,994
18.7,-77.6,50,994
19,-78.1,55,993
19.1,-78.7,60,990
19.6,-79.6,65,986
19.7,-79.8,65,986
20,-80.3,65,984
20.5,-81.1,70,978
21,-82.2,75,970
21.3,-83,90,971
21.6,-83.2,90,971
22.1,-84,90,971
22.4,-84.4,90,971
23,-85.7,90,967
23.6,-87.2,100,962
24.4,-88.3,110,952
25.4,-89.5,120,941
25.9,-89.9,125,938
26.7,-90.3,125,940
28.1,-91.4,105,957
29.2,-92.1,80,962
29.5,-92.2,80,963
30.5,-92.4,60,976
31.9,-92.1,40,985
33.5,-91.4,30,994
35.8,-90,25,997
