11.8,-37.7,30,1008
12.8,-38.5,30,1008
14,-39.4,30,1008
15.2,-40.2,30,1007
16.6,-41,30,1007
18,-41.8,30,1007
19.2,-43,30,1007
20,-43.8,30,1007
21,-44.2,35,1005
22,-44.5,45,1000
23,-44.3,50,997
23.9,-43.6,50,997
24.8,-42.6,50,997
26.1,-41.3,50,997
27.2,-39.9,55,994
28.3,-38.2,55,991
29.2,-36.8,65,987
30,-35.4,65,987
30.8,-34.8,55,992
31.8,-35.1,55,992
32.6,-36,50,996
32.5,-37.1,50,997
32.4,-38.3,50,997
32.2,-39.6,55,994
31.7,-40.9,65,987
31.1,-42.1,65,987
30.3,-43,75,979
30.1,-43.6,75,979
29.9,-44.7,80,976
29.6,-45.8,80,976
29.4,-46.9,90,970
29.4,-47.8,90,970
29.6,-49.1,100,962
29.9,-50.3,100,962
30.1,-51.6,100,962
30.1,-52.8,105,956
30.2,-54,110,952
30.3,-54.7,100,962
30.4,-55.5,95,968
30.7,-56.1,90,973
31.4,-56.4,85,975
32.3,-56.2,80,977
33.5,-56,80,977
35.2,-55.6,75,979
36.9,-55,70,983
38.6,-54,65,987
40.5,-52.1,60,987
43.8,-49.5,60,987
47.5,-47.2,60,980
52,-44,60,978
56.5,-40.5,65,974
59.5,-37,65,974
61.1,-33.4,65,970
62.1,-28.7,60,970
62.5,-24,55,972
62.6,-19,55,973
62.5,-12.6,50,976
63,-6,50,980
