20,-85,25,1004
21,-85.3,30,1003
21.9,-85.7,30,1003
22.5,-86.3,35,1003
23.1,-87.1,35,1003
23.6,-87.8,40,1002
24.3,-87.8,40,1004
25,-87.8,40,1004
25.8,-87.4,45,1004
26.8,-86.3,60,1000
27.5,-85.4,60,997
28,-85,60,995
28.8,-84.4,55,995
29.5,-84.1,45,996
29.9,-83.7,40,998
30.3,-83.5,35,997
31.3,-82.8,35,1001
32.8,-81.9,30,1003
34.3,-80.7,35,1003
35.5,-77.5,35,1002
37,-73,45,999
38.8,-69.9,45,990
40.9,-66.8,50,979
42.6,-64.2,55,971
44,-62,55,969
46,-58.5,50,972
47.4,-55,45,985
49.3,-51.5,40,990
50.8,-45.2,40,995
51.5,-39,40,995
53,-34.5,40,995
54,-29,35,995
54.5,-23,30,995
54.5,-16,30,995
54.5,-12,30,995
55,-9,30,997
56.5,-5.5,30,999
57,-3,30,999
